SLOVENIJA;8.53;8.23;8.47;8.84;9.61;9.95;10.00;9.11
Ajdovšèina;9.63;7.48;8.74;8.01;10.30;11.60;11.82;10.72
Apaèe;-;4.94;5.24;4.15;3.57;8.53;9.70;7.18
Beltinci;5.16;5.04;7.08;8.14;7.20;12.24;10.72;8.88
Benedikt;5.38;3.04;4.25;4.22;6.26;6.15;8.64;8.93
Bistrica ob Sotli;10.35;6.88;9.94;9.17;11.14;11.96;9.97;7.91
Bled;13.08;9.04;8.59;10.21;8.50;10.52;10.77;8.42
Bloke;4.88;4.88;12.68;12.76;13.96;10.09;11.36;12.11
Bohinj;5.31;6.80;6.71;7.00;5.90;9.81;6.92;10.24
Borovnica;7.42;9.69;9.92;9.63;8.28;10.52;9.52;9.15
Bovec;4.81;7.25;6.30;7.82;7.06;8.47;8.14;8.58
Braslovèe;7.01;6.90;7.54;10.36;10.96;9.48;12.76;11.39
Brda;8.35;8.18;8.29;8.01;8.87;9.89;8.89;10.51
Brezovica;8.73;9.92;8.91;10.55;10.78;9.05;11.53;10.20
Brežice;7.27;7.20;7.88;8.63;9.63;8.23;10.01;9.28
Cankova;2.48;5.96;5.21;5.78;10.59;6.35;11.12;8.65
Celje;10.54;8.99;9.21;9.57;10.97;11.10;9.43;9.31
Cerklje na Gorenjskem;8.52;8.13;7.45;10.41;10.27;10.71;11.32;9.12
Cerknica;7.93;9.07;10.17;9.48;11.05;8.91;10.56;11.33
Cerkno;7.58;9.99;9.87;8.58;11.72;10.20;11.07;12.68
Cerkvenjak;3.78;2.84;4.39;6.34;7.37;7.95;8.46;10.42
Cirkulane;-;3.44;5.26;5.19;10.87;6.53;6.49;6.40
Èrenšovci;5.54;7.14;8.35;8.89;7.98;10.14;8.14;7.21
Èrna na Koroškem;6.15;6.78;6.33;8.33;8.74;6.80;7.20;4.99
Èrnomelj;9.55;7.61;7.27;7.69;9.24;9.11;8.48;9.05
Destrnik;5.61;5.95;7.92;4.47;7.93;5.32;9.68;5.75
Divaèa;12.29;8.70;8.85;7.25;8.00;8.43;9.24;10.42
Dobje;5.96;8.08;2.10;15.59;13.31;12.31;7.23;7.23
Dobrepolje;3.76;9.18;7.32;7.77;7.47;10.42;7.87;8.09
Dobrna;8.12;7.97;6.88;11.86;10.95;7.76;8.66;8.13
Dobrova - Polhov Gradec;9.83;9.69;7.77;7.41;10.51;11.81;10.61;9.35
Dobrovnik/Dobronak;4.33;3.63;3.75;5.29;6.74;7.47;7.58;8.60
Dol pri Ljubljani;8.31;9.39;9.74;9.55;10.26;8.82;7.94;11.60
Dolenjske Toplice;9.94;10.77;8.20;10.84;11.69;9.15;10.59;13.59
Domžale;8.91;9.22;9.19;8.94;10.02;9.56;10.04;8.95
Dornava;4.47;5.57;8.85;8.12;6.82;8.42;9.29;9.34
Dravograd;6.77;8.40;7.85;8.27;10.07;9.81;9.46;9.76
Duplek;6.35;6.78;7.17;7.85;9.43;9.40;9.64;11.38
Gorenja vas - Poljane;9.14;9.10;10.07;6.77;11.53;11.95;12.73;8.46
Gorišnica;9.98;6.39;5.30;6.77;6.44;9.15;11.15;7.75
Gorje;-;10.75;9.99;7.22;7.16;9.97;12.87;6.68
Gornja Radgona;8.29;6.67;10.57;7.89;10.13;9.89;8.75;8.22
Gornji Grad;8.53;6.58;6.43;6.36;7.88;9.01;9.06;9.89
Gornji Petrovci;3.97;5.27;5.93;4.10;7.37;7.92;5.15;7.62
Grad;3.83;5.16;5.75;4.88;7.09;12.58;8.12;5.89
Grosuplje;10.77;9.62;8.43;10.70;10.62;9.84;10.09;9.17
Hajdina;5.07;7.93;10.75;6.11;10.14;10.97;10.71;6.97
Hoèe - Slivnica;6.62;7.61;8.12;8.04;8.29;9.14;9.56;7.66
Hodoš/Hodos;2.92;-;-;3.17;9.49;7.92;-;5.52
Horjul;8.89;14.60;7.40;8.70;11.84;11.86;9.63;12.94
Hrastnik;6.13;5.73;8.71;9.17;9.52;7.88;9.68;7.83
Hrpelje - Kozina;7.81;6.06;5.33;7.39;10.73;7.99;7.67;8.45
Idrija;8.30;7.76;10.87;8.83;10.95;10.37;11.31;8.29
Ig;8.62;9.84;8.23;6.64;8.26;9.76;8.55;8.80
Ilirska Bistrica;8.83;8.15;9.56;9.39;10.21;10.22;9.59;7.75
Ivanèna Gorica;7.79;7.08;8.86;9.39;9.84;8.79;11.07;8.77
Izola/Isola;7.80;6.01;5.77;7.31;7.32;8.10;7.71;6.88
Jesenice;5.89;6.67;5.41;6.27;7.16;7.95;7.39;5.65
Jezersko;5.67;2.89;12.05;10.51;6.02;12.50;17.35;16.87
Juršinci;1.71;5.94;3.88;7.68;3.82;7.21;5.03;7.53
Kamnik;8.61;7.64;7.85;8.67;9.67;8.93;9.47;9.19
Kanal;8.00;6.16;6.81;8.32;8.35;11.26;10.45;9.18
Kidrièevo;5.93;6.24;7.40;7.18;10.53;9.77;10.56;11.52
Kobarid;6.74;4.54;11.41;9.53;10.72;8.85;10.98;8.41
Kobilje;7.90;1.60;1.63;11.51;12.94;8.05;5.08;1.71
Koèevje;7.44;6.51;7.04;7.97;7.69;8.54;7.27;6.12
Komen;10.73;9.02;8.60;11.09;9.90;9.83;7.90;13.22
Komenda;6.70;11.14;10.04;6.77;10.26;9.68;8.53;8.52
Koper/Capodistria;9.06;8.28;7.34;8.64;7.69;7.79;8.35;7.09
Kostanjevica na Krki;-;6.89;6.22;7.85;6.24;9.53;11.59;7.50
Kostel;2.94;5.79;7.73;12.03;10.56;6.33;7.76;4.62
Kozje;5.67;6.27;6.78;9.55;8.02;10.57;10.07;9.63
Kranj;9.57;8.32;8.58;9.51;9.05;10.87;9.60;9.26
Kranjska Gora;8.71;7.17;9.04;6.05;11.69;9.55;8.26;4.68
Križevci;5.03;6.20;6.93;6.14;10.19;8.22;8.79;9.18
Krško;8.05;8.14;8.75;7.29;8.58;11.05;9.90;9.93
Kungota;4.91;9.13;5.73;4.47;6.27;8.95;9.19;8.14
Kuzma;1.23;5.59;2.55;3.72;3.84;12.47;4.42;6.31
Laško;7.76;6.50;8.83;8.99;9.74;8.66;11.26;9.60
Lenart;9.77;7.63;5.72;7.36;8.47;9.03;10.77;7.54
Lendava/Lendva;5.59;6.47;6.90;7.65;8.80;7.91;9.33;7.16
Litija;11.43;8.18;8.95;6.92;9.49;9.33;9.92;9.57
Ljubljana;10.32;10.23;9.34;9.40;9.90;9.64;9.86;8.99
Ljubno;5.88;8.16;8.00;6.36;9.35;10.13;11.34;10.68
Ljutomer;5.79;6.24;6.33;7.27;7.45;9.68;9.00;8.04
Log - Dragomer;-;14.93;9.33;12.31;12.01;7.71;8.74;11.05
Logatec;9.71;7.98;8.07;9.23;10.35;10.95;9.20;8.32
Loška dolina;8.96;11.26;12.34;8.35;9.23;6.96;11.37;5.17
Loški Potok;6.35;4.91;7.16;2.00;9.08;6.61;8.80;5.26
Lovrenc na Pohorju;6.32;6.01;6.41;11.19;7.71;9.28;9.04;6.73
Luèe;7.46;5.02;7.82;7.67;7.78;8.51;11.89;9.38
Lukovica;7.50;8.56;5.22;7.18;7.75;10.19;10.27;6.39
Majšperk;7.26;6.03;7.91;7.57;11.32;9.43;13.07;13.22
Makole;-;4.75;7.18;8.09;7.73;9.13;9.82;7.91
Maribor;8.65;7.69;7.61;8.19;9.32;9.46;9.87;8.86
Markovci;5.49;8.20;6.29;8.76;9.54;9.28;9.46;9.78
Medvode;8.53;9.21;8.89;10.20;8.94;8.52;9.34;8.95
Mengeš;9.68;9.76;10.26;10.01;11.26;9.72;11.77;9.37
Metlika;7.68;6.27;8.00;8.89;9.98;12.12;10.03;7.97
Mežica;4.63;6.96;6.21;7.60;8.46;9.88;10.19;7.46
Miklavž na Dravskem polju;8.23;9.30;9.13;7.47;9.89;9.25;10.78;8.86
Miren - Kostanjevica;9.14;9.24;9.70;11.77;9.55;9.28;12.20;10.36
