SLOVENIJA;95204;79969;69238;73911;99591;115132;115965;124258
Ajdovšèina;651;552;465;466;745;982;1092;1323
Apaèe;-;227;197;222;276;282;287;251
Beltinci;646;554;524;459;863;802;702;712
Benedikt;80;67;56;73;102;104;108;127
Bistrica ob Sotli;78;91;78;85;91;82;82;77
Bled;332;172;141;168;223;277;268;348
Bloke;41;29;29;46;60;72;67;99
Bohinj;108;87;70;77;100;194;219;208
Borovnica;92;69;61;104;153;173;195;292
Bovec;166;109;100;107;160;153;108;108
Braslovèe;247;239;178;176;216;277;256;312
Brda;140;108;86;92;158;183;193;199
Brezovica;192;244;212;198;312;395;394;474
Brežice;1241;1096;958;1057;1358;1502;1590;1646
Cankova;215;168;166;170;242;227;196;185
Celje;3350;2603;2183;2125;2744;3319;3341;3645
Cerklje na Gorenjskem;162;124;117;140;202;234;237;265
Cerknica;339;240;235;290;409;499;554;632
Cerkno;47;36;34;61;104;113;94;122
Cerkvenjak;85;62;55;72;94;85;92;96
Cirkulane;-;116;119;115;143;140;158;162
Èrenšovci;423;336;264;303;470;449;409;387
Èrna na Koroškem;177;149;131;142;169;175;163;134
Èrnomelj;930;703;616;768;934;1004;1259;1417
Destrnik;155;126;116;123;169;161;154;149
Divaèa;99;93;70;82;113;155;152;181
Dobje;49;52;34;26;39;37;44;42
Dobrepolje;89;74;66;57;107;123;122;148
Dobrna;90;80;68;72;95;98;95;108
Dobrova - Polhov Gradec;99;138;115;100;151;224;203;249
Dobrovnik/Dobronak;153;129;112;107;140;150;154;154
Dol pri Ljubljani;139;133;106;102;147;183;192;231
Dolenjske Toplice;67;75;64;69;93;116;178;217
Domžale;1091;943;743;770;1165;1457;1400;1583
Dornava;133;107;102;104;146;153;145;143
Dravograd;452;344;286;385;527;606;566;607
Duplek;348;343;297;302;386;434;421;458
Gorenja vas - Poljane;82;72;63;115;189;194;160;199
Gorišnica;348;168;162;181;214;220;191;167
Gorje;-;51;45;54;74;100;82;120
Gornja Radgona;913;459;417;435;604;659;618;630
Gornji Grad;116;117;108;101;123;142;127;148
Gornji Petrovci;214;194;154;150;194;187;175;180
Grad;166;156;125;153;196;191;176;171
Grosuplje;581;525;454;483;735;869;981;1128
Hajdina;160;165;135;124;220;216;191;191
Hoèe - Slivnica;473;547;435;489;617;702;669;671
Hodoš/Hodos;28;26;25;19;31;32;28;28
Horjul;52;47;41;38;65;74;73;91
Hrastnik;581;572;483;504;602;556;683;756
Hrpelje - Kozina;132;114;100;92;142;162;192;230
Idrija;139;76;98;197;268;393;332;380
Ig;106;144;123;131;183;279;232;281
Ilirska Bistrica;578;497;401;430;550;664;652;736
Ivanèna Gorica;435;332;318;341;513;576;635;747
Izola/Isola;730;594;508;531;664;873;917;934
Jesenice;1008;663;476;664;800;991;1141;1208
Jezersko;18;16;10;9;18;15;22;20
Juršinci;137;102;80;112;149;145;127;128
Kamnik;818;705;543;545;1055;1193;1183;1406
Kanal;165;119;90;126;224;273;283;283
Kidrièevo;311;268;242;249;350;330;327;308
Kobarid;208;154;120;133;172;184;154;171
Kobilje;65;54;37;39;63;65;54;53
Koèevje;1267;1060;923;1094;1413;1475;1574;1659
Komen;80;82;72;84;139;136;160;166
Komenda;119;122;89;78;164;218;206;221
Koper/Capodistria;1746;1684;1450;1532;1826;2263;2389;2712
Kostanjevica na Krki;-;73;78;96;110;139;135;153
Kostel;20;33;23;38;44;44;49;35
Kozje;268;263;231;218;230;231;210;195
Kranj;2210;1624;1472;1854;2446;2826;2699;2866
Kranjska Gora;180;137;118;132;164;192;201;199
Križevci;171;145;138;156;232;237;199;225
Krško;1603;1264;1135;1218;1526;1782;1868;2160
Kungota;358;345;300;294;342;348;351;324
Kuzma;181;147;136;133;155;165;137;115
Laško;721;550;479;492;715;723;725;782
Lenart;440;193;215;239;326;354;383;388
Lendava/Lendva;1102;1032;970;980;1213;1256;1211;1173
Litija;814;571;512;559;738;848;898;932
Ljubljana;10861;9124;8117;7760;10646;14029;14067;15863
Ljubno;155;147;127;133;166;154;143;158
Ljutomer;731;682;624;672;954;937;856;834
Log - Dragomer;-;90;75;62;115;129;124;144
Logatec;208;145;157;309;488;599;521;672
Loška dolina;100;90;98;125;151;165;177;261
Loški Potok;65;53;52;63;71;79;78;95
Lovrenc na Pohorju;203;179;158;162;193;226;202;185
Luèe;95;80;69;74;82;91;95;88
Lukovica;142;149;100;91;141;191;156;173
Majšperk;240;197;160;160;229;208;201;224
Makole;-;98;105;101;140;121;132;139
Maribor;7917;6627;5610;5616;7365;8179;8628;8435
