Pomurska;5.65;5.97;6.97;7.09;8.23;9.59;8.74;7.68
Podravska;7.37;7.11;7.38;7.76;8.97;9.10;9.93;8.53
Koroska;7.73;7.33;9.12;8.84;9.95;10.79;11.25;9.99
Savinjska;8.51;8.11;8.50;9.21;10.30;10.72;10.30;9.18
Zasavska;7.10;7.10;8.00;8.25;9.68;9.24;9.13;8.58
Spodnjeposavska;7.32;7.87;8.20;8.12;8.72;9.83;10.01;9.43
Jugovzhodna Slovenija;9.02;7.95;8.69;9.09;9.67;9.95;9.50;9.80
Osrednjeslovenska;9.61;9.65;9.00;9.26;9.87;9.61;9.91;9.13
Gorenjska;8.54;8.44;8.42;9.15;9.16;10.27;9.98;8.93
Notranjsko-kraska;9.05;8.79;10.21;8.94;10.17;9.70;10.21;8.12
Goriska;9.44;8.32;8.73;9.32;10.32;10.60;9.97;9.75
Obalno-kraska;8.78;7.59;7.35;8.23;7.82;8.34;8.33;7.55
