SLOVENIJA;4.3;4.5;4.6;4.1;4.1;3.9;4.3;5.7
Ajdovšèina;2.9;2.3;1.6;1.4;1.8;1.4;2.9;1.8
Apaèe;0.0;3.3;5.2;6.4;5.8;5.2;5.0;5.3
Beltinci;5.1;3.8;4.2;3.0;3.0;3.5;6.0;5.8
Benedikt;3.6;2.2;5.5;6.4;5.4;5.3;4.1;7.7
Bistrica ob Sotli;2.8;z;2.1;2.8;z;z;z;0.0
Bled;3.5;3.8;3.9;3.2;2.6;2.9;2.4;4.0
Bloke;z;1.8;0.0;z;2.5;z;z;z
Bohinj;1.5;2.5;3.5;3.6;1.3;1.3;1.0;1.0
Borovnica;3.3;3.3;1.5;2.3;1.3;1.0;1.0;3.2
Bovec;1.2;1.5;2.5;z;1.8;1.6;2.2;2.5
Braslovèe;1.0;0.6;1.2;1.5;1.3;1.7;1.8;2.4
Brda;1.7;3.3;1.2;1.4;1.4;1.6;0.9;2.3
Brezovica;0.5;1.5;1.1;1.8;1.3;1.6;2.3;3.1
Brežice;3.7;5.8;5.0;3.2;3.0;2.5;4.4;4.2
Cankova;z;2.0;2.1;z;4.7;2.6;0.0;2.7
Celje;5.0;5.9;5.0;4.9;6.1;4.3;4.6;7.3
Cerklje na Gorenjskem;1.2;1.2;1.2;1.2;1.4;0.8;1.7;1.5
Cerknica;2.7;3.1;2.0;2.6;1.3;1.9;2.1;3.7
Cerkno;z;0.6;1.0;0.8;1.3;1.3;0.8;0.8
Cerkvenjak;1.9;3.8;2.9;3.4;2.9;6.5;6.4;6.0
Cirkulane;0.0;4.3;4.0;3.9;3.9;3.1;2.2;2.6
Èrenšovci;6.2;6.7;8.1;6.2;6.0;7.5;4.1;7.5
Èrna na Koroškem;4.2;3.1;2.2;1.6;5.0;3.7;3.4;6.1
Èrnomelj;6.8;7.9;6.5;7.6;6.4;6.6;6.3;10.8
Destrnik;3.8;6.4;4.9;5.6;3.0;3.0;6.2;4.6
Divaèa;2.6;1.5;4.2;2.3;2.6;0.8;3.3;3.5
Dobje;0.0;0.0;0.0;0.0;z;z;z;3.1
Dobrepolje;z;1.9;2.4;3.1;2.3;z;z;3.3
Dobrna;z;1.9;z;2.8;4.5;2.7;1.8;3.2
Dobrova - Polhov Gradec;z;z;z;0.8;0.4;z;1.1;0.7
