Pomurska;5.3;6.1;5.9;4.9;4.9;4.6;5.2;5.9
Podravska;4.6;4.9;5.6;5.7;5.2;5.0;5.3;6.2
Koroska;4.5;4.1;4.4;4.1;4.2;4.0;4.7;5.5
Savinjska;3.5;3.6;3.5;3.5;3.9;3.0;3.3;4.9
Zasavska;3.0;5.2;5.0;4.6;5.2;4.6;4.2;6.6
Spodnjeposavska;5.0;5.9;5.5;3.7;3.8;3.0;4.3;4.2
Jugovzhodna Slovenija;4.9;5.3;5.4;5.4;5.1;5.1;5.7;8.3
Osrednjeslovenska;3.6;3.7;3.6;2.8;2.9;2.9;2.9;5.1
Gorenjska;3.5;3.3;3.1;2.3;2.3;2.3;2.9;3.1
Notranjsko-kraska;3.5;3.2;3.4;2.9;3.1;3.1;2.8;3.7
Goriska;2.4;2.5;2.0;1.8;2.1;2.1;2.3;2.5
Obalno-kraska;5.6;4.4;4.3;4.0;3.7;3.3;4.5;5.6
